,location,longitude,latitude
0,165th Street Bet. Farms And Hoe,,
1,167th Street Bet. Prospect And Rev James,,
2,ABC Playground,-73.98602765139131,40.72179273976484
3,Abe Lebewohl Park,-73.98700900864011,40.730039565246734
4,Abigail Playground,-73.90464194438732,40.81731386934779
5,Abraham Lincoln Playground,-73.93718678520433,40.81219510551868
6,Admiral Farragut Playground,-73.89177483378519,40.84295236359078
7,Alexander And 143rd Street,,
8,Alexander's Alley,-73.9232270154533,40.81150799870281
9,Alfred E. Smith Playground,-73.99748850599607,40.710572850059236
10,Alice Kornegay Triangle,-73.93531626517202,40.80641199401116
11,Allen Street Malls,-73.99076302219078,40.71845206034903
12,Allerton Playground,-73.85053597983584,40.865994958012784
13,Amelia Gorman Park,-73.93241220786246,40.85570483814665
14,Aqueduct Walk,-73.90676093071777,40.859618359909064
15,Arcilla Playground,-73.91431006428294,40.827102301003734
16,Astoria Park,-73.92317831577441,40.77864295401294
17,Audubon Playground,-73.93813259620673,40.84161050141599
18,Bailey Playground,-73.90002670968502,40.88206247250122
19,Barnhill Square,-73.89967798462308,40.86810790165029
20,Barrett Triangle,-74.0758410628877,40.641791946757465
21,Barretto Point Park,-73.88836437987285,40.8050009475
22,Barry Bet. Lafayette And Tiffany,,
23,Bathgate Playground,-73.8942662822464,40.852805032331275
24,Beanstalk Playground,-73.91674841100945,40.85381451183701
25,Beatty Plaza,-73.90177299765755,40.83154223690566
26,Behagen Playground,-73.90140801779499,40.825302466349726
27,Benjamin Gladstone Square,-73.8909928416846,40.82536368715939
28,Bennett Park,-73.93811113321672,40.85284979348113
29,Bergen Triangle,-73.90132524306124,40.854742419678516
30,Bill Rainey Park,-73.89749507508758,40.818789211635355
31,Boone Slope,-73.88237941220719,40.83718540545485
32,Broadway Malls,-73.95014840027754,40.826846082624925
33,Bronx Park,-73.87582913133075,40.85662155048018
34,Bronx River Parkway,-73.8683167118761,40.86952351313727
35,Bruckner And Southern,,
36,Bruckner Blvd & E 133 St,,
37,Bryan Park,-73.89418451032131,40.862140811061195
38,Bryant Triangle,-73.88858786564788,40.826612527828644
39,Captain Jacob Joseph Playground,-73.98981672319759,40.71358820350437
40,Captain Rivera Playground,-73.90693259414428,40.81793426694587
41,Carl Schurz Park,-73.94350022431,40.77513974371548
42,Catherine Slip Malls,-73.99619568371688,40.70970245885756
43,Cedar Playground,-73.91738858813125,40.855122235475896
44,Central Park,-73.96555840117853,40.782483838356455
45,Charlton Garden,-73.90710280634615,40.824680575855005
46,Chelsea Park,-74.00072825751178,40.74994164790342
47,Christopher Park,-74.00231529171113,40.73358660562451
48,Ciccarone Park,-73.88670438185923,40.855966189307175
49,City Hall Park,-74.00615661282505,40.71280466471745
50,Claremont Park,-73.90743694067463,40.84045873043789
51,Clark Playground,-73.92128780057736,40.81370910716723
52,Cleopatra Playground,-73.90420039567232,40.845420670100815
53,Clinton Community Garden,-73.99173386935244,40.762779321585235
54,Coleman Playground,-73.99341327126882,40.71121407009724
55,Collect Pond Park,-74.00181983388187,40.716328963927445
56,Collyer Brothers Park,-73.94106008858186,40.808543412451705
57,Columbus Park,-74.00000408370073,40.715140412372456
58,Concrete Plant Park,-73.88508003088761,40.82572862378888
59,Cooper Triangle,-73.99076146883644,40.72878699758826
60,Corlears Hook Park,-73.9795128092735,40.71177569520266
61,Coster And Hunts Point,,
62,Crack Is Wack Playground,-73.93177320479096,40.804358673442366
63,Crosson Park,-73.895904009963,40.742940024280664
64,Crotona Park,-73.89489523245746,40.838585382596676
65,Crotona Parkway Malls,-73.88476990739674,40.844049902333715
66,Cunningham Park,-73.76880265619023,40.733821056515076
67,D'Auria-Murphy Triangle,-73.88910102679023,40.85323239647634
68,Daniel Boone Playground,-73.88599096121116,40.82960397736867
69,David Friedland Square,,
70,Davidson Park,-73.91249421527576,40.84956751973213
71,Dawson Playground,-73.89844996463857,40.8195122047612
72,Deegan Rock,,
73,Demera/Santiago Garden,,
74,Devanney Triangle,-73.90452184215758,40.852532371173375
75,Devoe Park,-73.90624584356509,40.863311726412284
76,Dr. Ronald E. McNair Playground,-73.93808826467907,40.802533046056155
77,Dry Dock Playground,-73.97545543161934,40.725460809794896
78,Duane Park,-74.00936662391565,40.71717438187264
79,Duarte Square,-74.00548970352857,40.722494905490144
80,E 167th St & Intervale Ave,,
81,E. 120 St And Second Ave,,
82,E. 127th St. And 2nd Ave.,,
83,Eae J Mitchell Park,-73.88439072856232,40.83646109318321
84,East Gun Hill Rd. And White Plains Rd.,,
85,East River Waterfront Esplanade,,
86,Echo Triangle,-73.90614893979667,40.84991106494767
87,Edenwald Playground,-73.84500475613092,40.8843625039113
88,Elton Bet. 163rd Street And Washington,,
89,Estella Diggs Park,-73.9061734199759,40.82896149849032
90,Eugene McCabe Field,-73.94164355961011,40.80239437071677
