,response_id,gispropnum,collected_date,time_of_day,group,location,ground_syringes,kiosk_syringes,total_syringes,precinct,borough,district,property_type,kiosk_site,latitude,longitude
34,M-001244,M037,2021-11-04,AM,Parks,Highbridge Park,22.0,,22.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
35,M-001235,M037,2021-11-03,AM,Parks,Highbridge Park,50.0,,50.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
36,M-001227,M037,2021-11-02,AM,Parks,Highbridge Park,54.0,,54.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
37,M-001219,M037,2021-11-01,AM,Parks,Highbridge Park,10.0,,10.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
38,M-001212,M037,2021-10-31,AM,Parks,Highbridge Park,7.0,,7.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
39,M-001205,M037,2021-10-30,AM,Parks,Highbridge Park,10.0,,10.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
40,M-001199,M037,2021-10-29,AM,Parks,Highbridge Park,22.0,,22.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
41,M-000881,M037,2021-09-17,AM,Parks,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
42,M-000872,M037,2021-09-15,AM,Parks,Highbridge Park,2.0,,2.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
43,M-000868,M037,2021-09-14,AM,Parks,Highbridge Park,4.0,,4.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
44,M-000866,M037,2021-09-13,PM,Parks,Highbridge Park,9.0,,9.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
45,M-000863,M037,2021-09-13,AM,Parks,Highbridge Park,19.0,,19.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
46,M-000859,M037,2021-09-12,AM,Parks,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
47,M-000843,M037,2021-09-10,AM,Parks,Highbridge Park,3.0,,3.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
48,M-000836,M037,2021-09-08,AM,Parks,Highbridge Park,7.0,,7.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
49,M-000833,M037,2021-09-07,AM,Parks,Highbridge Park,7.0,,7.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
50,M-000786,M037,2021-08-20,AM,Parks,Highbridge Park,7.0,,7.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
51,M-000824,M037,2021-09-05,AM,Parks,Highbridge Park,4.0,,4.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
52,M-000782,M037,2021-08-19,AM,Parks,Highbridge Park,8.0,,8.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
53,M-000776,M037,2021-08-18,AM,BBP,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
54,M-000771,M037,2021-08-17,AM,BBP,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
55,M-000768,M037,2021-08-16,AM,Parks,Highbridge Park,5.0,,5.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
56,M-000762,M037,2021-08-15,AM,Parks,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
57,M-000677,M037,2021-08-12,AM,Parks,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
58,M-000680,M037,2021-08-13,PM,Parks,Highbridge Park,3.0,,3.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
59,M-000622,M037,2021-08-01,AM,Parks,Highbridge Park,4.0,,4.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
60,M-000625,M037,2021-08-02,AM,Parks,Highbridge Park,3.0,,3.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
61,M-000639,M037,2021-08-06,AM,Parks,Highbridge Park,5.0,,5.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
62,M-000636,M037,2021-08-04,PM,BBP,Highbridge Park,2.0,,2.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
63,M-000630,M037,2021-08-03,AM,BBP,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
64,M-000673,M037,2021-08-11,PM,Parks,Highbridge Park,7.0,,7.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
65,M-000670,M037,2021-08-11,AM,BBP,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
66,M-000667,M037,2021-08-10,AM,BBP,Highbridge Park,5.0,,5.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
67,M-004549,M037,2022-10-08,AM,Parks,Highbridge Park,15.0,,15.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
68,M-004539,M037,2022-10-07,AM,Parks,Highbridge Park,10.0,,10.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
69,M-004530,M037,2022-10-06,AM,Parks,Highbridge Park,2.0,,2.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
70,M-004523,M037,2022-10-05,AM,Parks,Highbridge Park,4.0,,4.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
71,M-004516,M037,2022-10-04,AM,Parks,Highbridge Park,6.0,,6.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
72,M-004400,M037,2022-09-26,AM,Parks,Highbridge Park,15.0,,15.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
73,M-004507,M037,2022-10-03,AM,Parks,Highbridge Park,5.0,,5.0,34.0,Manhattan,M-12A,PLGD,True,40.84649764077546,-73.93046413518206
